"SENTENCES","LABELS"
"Thank u! :-) dm me ur info RT @PRadha: @EmPerez I admire your photography~Very intriguing to say the least!!!! Love to shoot with you:)","English"
"The day was Hell Good.","English"
"yeh #Trump marge sab ko...yeh world war 3 karge...#Afghanistan ....ab #Pakistan ki bari hai","Hindi"
"Sapna toota hy tou dil kabhi jalta hy...  Han thora dard hoa, per chalta hy!!!! Supreme Court #ImranKhanhttps://twitter.com/wajih_sani/status/941723635345063936Ã‚Â Ã¢â‚¬Â¦","Hindi"
"Put a big mouse pointer with wheels in a public space and this is what you get: http://post.ly/BQ6f","English"
"Jio sim ki tarah #Jiocoin  bhi free milega","Hindi"
"I didn't drink, and was plenty hydrated. Why do I feel so hungover?","English"
"just joined a video chat with 50 other people at http://tinychat.com/badgirlsclub #tinychat http://tinychat.com","English"
"http://tweetube.com/65B - Bluefin","English"
"Trying to make somebody love you is about as useless as trying to control who you fall in love with","English"
"Serious business, just released interview of Rob in Cannes: FINE no more teeny magazine scans and interviews. h.. http://bit.ly/1s0Gxp","English"
"tomorrow is the day for my schooling,,,, i miss my classmates but not my school.. :P","English"
"Zara zara si neend bhi Ajnabi si ho gayi Zara zara chain se","Hindi"
"this is what you'll never GET. i didn't want to be your past. I wanted to be your future.","English"
"RT @BaddestPeach IM GETING BAPTIZED TOMMORROW TAKE PICS <- CONGRATULATION Praise Him In Advancehttp://bit.ly/23nll","English"
"RT @duhism: Only a moron tries to convince stupid people that they're idiots. // how timeless. And timely. Joking! @marksofla","English"
"What used to mark victims of the Holocaust is now painted on a military tank at a checkpoint to prevent human movement. http://ow.ly/i/5MI","English"
"RT @lulushea How long is it going to take someone to invent breakfast delivery? Only in hotels, still? This is ridiculous.","English"
"Well i'll tweet later when i can escape my mental aunt. Shes 70 and she teaches dance, like wtf? Steroids!?!","English"
"Ye pata nai kion out dia hai laiken jo bhi hua chalo acha hua #PAKvIND #U19CWC","Hindi"
"Yeh sabb Allah Rabbulaalameen ka ehsaan hay. Agar Na ehl ho jat tou Supreme Court yeh sabit kar daitee kay Qanoon sabb kay leyay brabar hai. Par abb yeh sabit ho gaya hay kay Qanoon ke koi ehmeyat hee nahin hay . Yeh Judge hain aur kuch bhee faisla day saktay hain","Hindi"
"RT @DaynaFlowers: #sextips guys hum while giving oral sex <-humming? She wouldn't hear me over all her moaning and writhing anyway","English"
"Let the Phillies win today! And go back to Yankee stadium to win","English"
"Income tax bhi badh gaya govt. ka #GST se aamdani bhi badh gayi aur fir Bhi Mumbai me #Elphinstone ka haadsa ho gaya koi farak hi nahi pada","Hindi"
"just voted ""It's ok"" on ""Do you like Kevin Jonas and Danielle Deleasa as a couple?"" vote too ÃƒÂ¢Ã…Â¾Ã¢â‚¬Â http://bit.ly/3W79yH","English"
"Reading: ""Checking out some awesome NEW MOON content...do you have your tickets yet??? http://bit.ly/18cmhg"" (http://twitthis.com/q3gp6p)","English"
"in la casa txtinq ma ppl!!! tatoo ur name across ma heart!!!!watchinq the game wiff ma stepdad nd ma tio!! GO YANKEES","English"
"So..another day with nothing done..at some point I cant cite mental anguish anymore.","English"
"I need 10 CL pva's ASAP will pay for quality and service by seeker28 http://bit.ly/1Y3M3E","English"
"Ye sub ho kia raha hai 2 ka bol k ab 3 hone wale hain akhir faisla kab ay ga Supreme Court","Hindi"
"I'm Thinking of updating to Windows 7 on my MBP","English"
"Ussne aas-paas se kankad ekatrit kare aur ek-ek karke apni chonch se ghade mein tab tak dale jab tak pani uppar nahin aagaya.","Hindi"
"It was bound to happen sooner or later...""Channel drift"" has struck The Weather Channel! They're now showing...MOVIES? http://bit.ly/2MYjE6","English"
"i just ate like 3 bags of chips . i am fat .","English"
"Parah... This is it ---> harusnya kita nonton brg ya sir!! I miss you BB!!","English"
"Johnson & Johnson to make deep cuts in workforce http://bit.ly/xJYNC","English"
"Tail mai bhigo bhigo kar maar rahi hai SC #ISupportMyPrimeMinister Supreme Court #SECP #GoNawazGo","Hindi"
"ol my god im so freaking stressed right now..fraking sucks","English"
"Northeastern plains: clearing to mostly sunny. Highs: 53-61. Mostly cloudy tonight. Slight chc of snow late. Lows: 28-34. #colorado #weather","English"
"W.A.T.S.T.E. RT Wait, why was Lady Gaga trending? http://bit.ly/2bomma","English"
"Hum Bolega to Bologe ke bolata Hai","Hindi"
"RT @NeNeG0Rd0: @__kire worddd it really is u got my laughing cuz u telling the truth <--always do! lol","English"
"selaw ca, selaaaaw RT @fatiaaisa: @icalsaurus udh biasa kali","English"
"Hum Aur Tum the Sathi","Hindi"
"Karib 40 ghante hone aye #GST lagu huye par #NDTV ne usse marne walo ki number ni bataye. Bahut nirasha ka mahol NDTV ofc me @modivanibharat","Hindi"
"Reuters Sports: Aggressive Ravens end Broncos' unbeaten start: BALTIMORE (Reuters) - The Baltimo.. http://bit.ly/18RKsI","English"
"Pull up my sleeves and see the pattern of my cuts","English"
"http://twitpic.com/nxip1 - done my nails up in black today...what do you think??","English"
"No I am not riding with the team today, they are paying to ride, that does not seem right.","English"
"RT @GuyKawasaki: Why leaves really fall off trees http://om.ly/YEVu","English"
"if you missed the show on Ustream http://bit.ly/sMTgR","English"
"Someone trimmed my toenails at some point last night, I dont recall. Odd. Related: I have no hangover.","English"
"Patakhe bann hone ke baad bhi itne patakhe phode gye hai agar bann na hote to ye to puri @delhi jala dete bc","Hindi"
"Gir Gaya Zumka Girne Do","Hindi"
"wish I had a laptop. I wanna go sit in a park or something and write.","English"
"is thinking about driving 5 hours (again) this weekend to go to Heather's baby shower and the @andrewhoover concert","English"
"The art of combining fascism and ""democracy"" :D","English"
"Khud ka dimaag lagao, Apne ward's representatives ki detail zaroor #Google","Hindi"
"RT @solobasssteve: +CONFIRMED+ #tuttle this week at LEON spitalfields from 10am. Big thanks to @henry_leon & Nicky for sorting it for us!","English"
"raaja ka kahana tha ki maarg mein jo kankad patthar the ve mere pairon mein chubh gae aur isake lie kuchh intajaam karana chaahie.","Hindi"
"Rook lo Nawaz Shareef ko warna who Supreme Court khareed ly ga","Hindi"
"Paki media Chilla rhi #TRUMP ne #Dhamkaya hai!","Hindi"
"Stop and think about it...""A nickel ain't worth a dime anymore."" ~ Yogi Berra","English"
"RT @nomorechange: RT @Noelzgal: RT @qascat: DO NOT FORGET TO CHANGE YOU CLOCKS TONIGHT!!!!!","English"
"Khoob jamega rang jab mil baithenge 3 yaar #RahulGandhi #NavjotSinghSidhu aur comedy  #INCWelcomesSidhu","Hindi"
"just joined a video chat with 42 other people at http://tinychat.com/dofat_people #tinychat http://tinychat.com","English"
"Har Chori rani Hiya","Hindi"
"Gussa Chhodh Di Na Tod","Hindi"
"RT @soffe: Next 10 followers of @Soffe get a FREE Fan pack! ~ Already follow @Soffe? Will choose 5 who ReTweet to get one also","English"
"Twitter is so much fun! I","English"
"RT @BarCampAfricaUk: Brilliant interview with @tmsruge of project diaspora // Will be posted Nov 2 at http://projectdiaspora.org","English"
"Rasi jal gai par bal nhi gae cangres  ki ajib stheti hai Supreme Court","Hindi"
"RT @geekgirldiva: My Little Cthulhu Glow inthe Dark Figure ""comes w/ 2 Little Victims that fit insnuggly grasp"" http://bit.ly/qF2E6 _no pic!","English"
"RT @4eVa_BeautifuL: ""Ummm why r yall up? I'm comin from a club wuts ya excuse? Lol"" I'm goin to work...","English"
"I'm giving away an iPod tonight...tune in: http://bit.ly/SVRoI","English"
"Hal Tujhe Apni Duniya Ka","Hindi"
"RT @comicbooklive: RT @Milomalo: LOL Blackest Night? http://i485.photobucket.com/albums/rr211/milomalo/Imagen11.png","English"
"LADYGOGOGOCH: FLOB :) and... http://bit.ly/43Xp4p","English"
"Hoga Thanedar Too","Hindi"
"RT @jonconnelly RT @saurabhshah: 70 Of The Best #Photoshop Actions For Enhancing Photos http://bit.ly/24sANZ","English"
"Hariyana mei ek din mei  4-4 bachiyon se rape aur sharm nahi ati wahan ke logo ko . .doob maro . .","Hindi"
"Topping of a great weekend with a little Gogol Bordello!","English"
"RT @BabylonXCory 'm sorry... if your sports team is named the Pharoahs, you will not give any respect from me.... #deadass<- lmao y not","English"
"http://twitpic.com/o2ksi - I built a boat :)","English"
"I hate people.","English"
"My bestfriend decided to watch paranormal activity and now she has me wide awake yappin my ears off cuz she's scared!","English"
"Sach ki hamesha jeet hoti hai .Allah AlHaq hai Supreme Court","Hindi"
"Hum Dono Do Premi","Hindi"
"I get all my followers from http://is.gd/4iAnc","English"
"Hat Ja Babu Nahi to Uda dunga","Hindi"
"just saying hi! packing and moving this week hopefully will be all done by the 15th.","English"
"http://twitpic.com/ns5wv - Almost done folks. I scare myself looking in the mirror! #fb","English"
"New post: PocketWizard MiniTT1 Radio Transmitter for Canon TTL Flashes and Digital SLR Cameras (http://bit.ly/1K8WEZ)","English"
"RT @DogBountyHunter: My tech friend tells me if you get a DM that says 'Hi. i found you here'. Do not clink on the link. It is a virus RT","English"
"stuck on my pc chair. :L","English"
"Wukala bhi ghalat Nawaz sharif bhi ghalat aur awam bhi ghalat to sahee sirf supreme court he reh gai hai? Supreme Court","Hindi"
"What the hell happened last night?","English"
"Har Baar Rok Lagane Ko #Diwali holi hi milti hai in samajdaaro ko aur koi milta nhi hai chamche saale #minorities ke.","Hindi"
"uh duhh http://bit.ly/1Qa51d","English"
"has CS4 creative suit!!! Can't wait to use it :D","English"
"RT @annisyajonas what is it :D - you mean This Is It ? haha ..","English"
"RT @yournutrition: ""Men and women belong to different species and communications between them is still in its infancy."" ??Bill Cosby","English"
"re-evaluating equity @unedollar. Short & Simple info which I used: http://bit.ly/3Y3ZZC","English"
"Watching ""Milk"" for the second time ... this movie makes me cry. ""You cannot live on hope alone, but without it life is not worth living.""","English"
"usake ande ek baar samudr baha kar le gaya .","Hindi"
"Wth seriously Jedward still in #xfactor rachel in the botton 2 yet again","English"
"Hamare Sang Sang Chale Ganga Ki Lahare","Hindi"
"John n Kate plus eight She says as parent she could fill 10 book contract! Sounds like a plug to me. Kate you have to raise kids to know how","English"
"hasino ki ye Shaam hai","Hindi"
"I'm sick....","English"
"RT @mashable WARNING: Twitter Money Scams Spreading Through DMs http://bit.ly/OP6Ot","English"
"I bought candy for ""trick-or-treaters"" & not one person came to my door. I'm gonna knock on the neighbors' door to give out treats. BRB.","English"
"Sher ki awaz sunkar chuha wahan aaya.","Hindi"
"Sukr hai ki nahi laga #ishq  par #GST  koi, Varna to tu  bhi meri #had se bahar  ho jati.","Hindi"
"RT @lauriebabiiee @purple_kizzes lol FINALLY i literally feel like i havent seen you in a month! ...(aww lol. i feel the same waay.:)...)","English"
"Jab maakhiyon ka pait bhar gaya aur oonhone udana chha, to wah udd na sakey.","Hindi"
"Goli Andar Dam Bahar","Hindi"
"http://twitpic.com/o19wb - Todays workout shirt. Gross right? You should smell my shoes.","English"
"official first XBL tweet! 'Bout to play some Tekken6","English"
"Winter wonderland! (8)","English"
"Had fun with my girls tonite... but the rest was BULLSHIT!!!!","English"
"Woohoo!! I LOVE Sunday mornings! :) Tempted? Wk 3 of d series 2day. www.flamingoroadchurch.com Come by HB @ 9:30, 11 or 5 - we'd luv 2 c ya!","English"
"Or I might not want to do engineering cuz my job wack. Maybe others might have better luck lol","English"
"Usse barabar - barabar baantay samay oonmay jhagada ho gaya.","Hindi"
"Pengeeeeen! RT @detikhot: Konser di Indonesia, Rain Anti Lipsync http://bit.ly/2vDGIL","English"
"Next stop on the North American Tour: Nov. 7, the Mayfield Inn and Suites Trade Center, Edmonton, Canada! http://bit.ly/3Hs1VB","English"
"Modiji does #MannKiBaat now he will start #DilSe . Sir sirf baate hi karoge ya kuchh kaam bhi karoge? #BJPJumloKiSarkar","Hindi"
"GOT A VOLLYBALL GAME TONIGHT! GOT A COUCH 2NIGHT 2!! IM READY 4 HOT COCOA AND SNUGGLIN!!","English"
"What a bunch of BS! Verizon sinks in their fangs! RT @daringfireball: Exchange Access for Droid: $15 Extra Per Month: http://ÃƒÂ¢Ã…â€œÃ‚Âªdf.ws/e25","English"
"Hamare sansad main baithe mantri is video ki bhali bhanti samajh payenge. #GST ne kya hall Bana diya pic.twitter.com/cUDqZ5JBIX","Hindi"
"Haye Re Haye tera Ghungta","Hindi"
"Mmm Chinese for dinner and attempting the famed mom tuna casrole http://myloc.me/1ifK2","English"
"RT @viviarias It's a hiphop giraffe. @dabagirls was the only one tall enough to kiss him. http://pic.gd/6a5f6a ----- my new boyfriend?","English"
"This Magic Mouse is hosing my brain...I'm listening to Country Music and using the all-in-one layout (again). Someone moved my cheese.","English"
"Ghar pe Sri Lanka ke against hi thik ho.  Asia ke bahar khelo hi matt! Aa jaao wapas. #SAvsIND #IndvsSA","Hindi"
"Gana Na Aaya","Hindi"
"It's Coupon Chaos time! Enter your best savings tips to win coupons http://bit.ly/3jKHoT","English"
"The best way to get 100 followers faster is using http://snipurl.com/sg0r1 .","English"
"Slate: Advice from 'Dear Prudence' http://bit.ly/1zinU2","English"
"wow... tonight was so much fun ! and i got to spend it with my babe <3","English"
"So true! RT @StephCalahan: Everyone can have a balanced life. You just need to want it ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦ and act to achieve it. -Mary Ellen Tribby","English"
"Jab kutta nadi paar kar raha tha, tabhi usse pani mein apni parchayi dikhayi di.","Hindi"
"Giving up my favourite vices for the whole of November: hotel chocolat, starbucks hot choc and all alcohol #jofearsthirty","English"
"i'm gonna make myself a sandwich! (odd hour for one) ok. i'll go find something else to do.","English"
"im so tired that my eyes are sore D:","English"
"Our Waterloo Road Clip of the Week (2/11/2009) http://bit.ly/3i4c9P","English"
"Parantu tab bhi nayi maakhiyan shahaid kay lalach mein wahan aatti rahin.","Hindi"
"mein tumhe 300 sone kee mohar deta hu.","Hindi"
"Going to watch Jools Holland being filmed tonight! Jay-Z, Foo Fighters and Sting...","English"
"RT @kabyeyou: Wack right RT @Liberiangyal: So i saw Paranormal Activity and..yea...<--it ddnt live up to the hype","English"
"Koi Mujhe Batyega Ki Y China Wli Light Ki Virodh Kab Karna H Kyuki. Diwali Ane Wali H","Hindi"
"Or evidence chahiye #Surgicalstrike  ke @sanjaynirupam Abhi ruko jab tak @INCIndia ka safaya NAHI ho jata h pure desh se.#IndiaFreeCongress","Hindi"
"poor poor wendy. you sure are a fucking tank tho.","English"
"Loving my dinner tonight! http://yfrog.com/j5dl1j","English"
"ja sakta tha utna vyaapari nay oothah liya. Parantu kuch shahaid phir bhi","Hindi"
"Update: Downgrading to 2.4 is the best way to get back Boxee and XMBC back on your Apple TV http://bit.ly/21WW0J by @johnbiggs","English"
"Good to see coach Domo on Twitter..... anyone else out there ?","English"
"Fry Street Crawl - Pray for the poor soul who has to engage this adventure and hope he doesn't do something stupid; dramatic yes; stupid no.","English"
"Which cabin categories and specific cabins on Royal Caribbean's Oasis are the best? Join our CruiseLog discussion: http://bit.ly/3okegh","English"
"R@Sincere9mg: http://www.myspace.com/sincerekev Music Ft, @MrPryceless @YoungDutch9MG @EZGunna @FirstClassRambo @PrettyYanaMarie & Luck","English"
"RT @LtGenPanda: Best Homework Ever?? [PIC] http://st.bit.ly/2kbEnu *lol*","English"
"Yeh Phans Gaye  hay Gormint. Yeh #Jang aor #GEO mill key Supreme Court ko Chu--ya bana rahey hain Gaaf phatti key :) #panamajit","Hindi"
"RT @fili41: La chequera q usa Ch es con fondos de todos los venezolanos. El HdP sigue estafandole el futuro a millones de jovenes y niÃƒÆ’Ã‚Â±os !","English"
"Yeh.. Lekin ise kuchh frk parne wala Nhi hai.. Ab is case ko ghasit ke lekar jayega #HighCourt Supreme Court","Hindi"
"ughhh, still on the road; won't be back for about another 2 hours...we betta be stoppin soon im hungryyyy; and my ass hurtz =/","English"
"Ghotala @INCIndia ke raj me ho to #manmohansingh doshi, bjp ke raj me ho to officials doshi.. aur ise kahte nishpaksh patrakarita.. mitroooooo....... Na khaunga, na khane dunga..","Hindi"
"Ugh, I'm so tired!-- but I don't want to get into the habbit of more than 200 mg of caffiene!--","English"
"Surgindo duvidas na minha cabecinhaa =/","English"
"Published a new blog post: Lenovo ThinkCentre A70z & A58e Business Computers Get Official http://bit.ly/ER5gs","English"
"sab ne supreme court pay hazari de di hai.. agli bari ab #zardari","Hindi"
"Most rewarding parts of an overly productive day: Oscar Wilde action figure, mint in a tankard and learning the word ""aboiement"".","English"
"Jo dikhta hai wo bikta haiï¿½","Hindi"
"Saalo jyada shor mat karo SM pe, Us ko aur gussa aya toh tumhare ghar mein ghuss ke saari salwaar waliyon ko utha le jayega #Trump.","Hindi"
"Why the hell is the bank so busy on a tuesday morning....strange","English"
"Sir, log #gst ka fayda utha rahe hai, bill na deke , faltu gst wasul rahe hai.","Hindi"
"In all seriousnsss, guys I need your help. I really need a job to help my family. If anyone can help pls do. THANK YOU!","English"
"Ho Gyrah Honge Sare","Hindi"
"Older men twice as likely as women to face diabetes shock - Daily Mail http://bit.ly/3O6rIC","English"
"today,after school, I'm gonna go to my mom's work.. Study.. Tomorrow I have test...","English"
"Lick the cheese from under my nuts.","English"
"Listen to Adam Lambert 's new single #4YourEntertainment at adamofficial.com now!!!","English"
"RT @NASA_SDO: RT @flyingjenny: What does Discovery look like underneath those tiles? Like this: http://twitpic.com/o119x","English"
"RT @RudeBwoyHardy: @PlatinumTrendz go in on twitter lmaoooom...ok awaits text<- I don't want to have to whop ass on twitter you know the ppl","English"
"Some friends I think you should follow: @ConConstSvces @NIR_theEXPERT @QualityCraftInc @WernerRestore PLZ RT","English"
"There are two colors in my head. Because I'm eating Starbursts.","English"
"Last night was super fun. Now all I need to do is figure out what to do with the extra DST hour we get today...","English"
"I've just hit my self o.o <.<","English"
"Ok time we all been waiting for...the return of Farve!!! Well done Miami great game against the Jets.","English"
"I cant go to sleep witout a certain someone telling me good night & I havent talked to them in two days","English"
"no termine mi tarea pero maÃƒÆ’Ã‚Â±ana zigo!! maÃƒÆ’Ã‚Â±ana no tengo clazez!! jeje","English"
"Where to? http://twitpic.com/nz374","English"
"Instant #TripleTalaq khatam hone ki khusiya manaa rahi hai Muslim mahilaye,,,,,, pic.twitter.com/cN88j8uoI1","Hindi"
"pulled a jessica.. got drunk and lost my phonee. =/ text me on my sisters phone 541-217-5302","English"
"rofl! miaaow! RT @jeffrago @mireyamayor Ha. #wildtalk is foreplay for #wilddance...and you know how I love that!!!","English"
"Plans emerge for NYC's first co-housing community, More than half of Manhattanites live alone ... and more: 1. Archit... http://bit.ly/zpVXZ","English"
"RT @scrabysys: Chi scarica musica da Internet compra piÃƒÆ’Ã‚Â¹ dischi http://ff.im/-aV5Hb","English"
"I'm a little upset that the Giants are on a losing streak, but this is how we did it when we won the Super Bowl in '07.......","English"
"Going to bed, I'm tireddddd!! Gotta work tomorrow! Hoping for more Glampire pics of @adamlambert.","English"
"Petrol do rupiya kam hone se rahat nahi hogi. Kam se kam dus rupiya kam hona chahiye aur #GST ko saral kijiye. Tax bhi kam kijiye","Hindi"
"Today I started OG Mandino's ""The Scroll Marked V"" and it is sooo informative and motivating that I must share some stuff with u all.","English"
"volkanyilmaz: GeÃƒÆ’Ã‚Â§tiÃƒâ€žÃ…Â¸imiz hafta izlediklerim http://ff.im/-aTByQ http://bit.ly/17zjrI","English"
"Partiledare mÃƒÆ’Ã‚Â¶ts i debatt: ÃƒÆ’Ã¢â‚¬Â¦lands Framtid bjuder in till traditionsenlig partiledardebatt i samband med att lag.. http://bit.ly/2ehDF7","English"
"I Am Weasel On T.V..That Used To Be On Of My Favorite Cartoons!","English"
"Laying in my room staring into Darkness. Will sleep come about soon? Im wondering and worrying about too much stuff.","English"
"swad nein padd jatte hai, wah un maakiyon kay samaan he moorakh hotay hain.","Hindi"
"MomTV Host @KerriPom shares her recent trip to Africa Orphanages LIVE Tuesday 8 PM ET @HeartforAfrica http://bit.ly/1lh69L","English"
"I love sven, michel and brandon at the rocket ship to freedom.","English"
"LMAO! RT @familiarface: You're so Latino. Still watching corny ass baseball when Ray J is on! :| RT @AshleyBankz: OKAYYYY!!! #11!! my man!","English"
"New post: H1N1 Shots' Benefits Outweigh the Risks - Wheeling Intelligencer (http://cli.gs/Trv0V)","English"
"Shukar hy apko bhi koi #SupremeCourt ki bat pasand ai.. Ã°Å¸â€“â€™","Hindi"
"RT @tweetmeme Inbox 4 All: Theory that can Win Nobel prize in 2010 http://bit.ly/j9Xle","English"
"Kubica set to contest Rallye du Var in Renault Clio R3 http://bit.ly/2210r #rally #racing #rcr #motorsports","English"
"yeh imandar sarkar ko badnam kiya jaa rahe hai..!!","Hindi"
"I hope my dream about @30SECONDSTOMARS video shoot is one of those dreams that come true...I've been known to have them occationally.","English"
"Haryana mein rape pe rape...aur ye ?.. abey insaan bhi ho ya paiso ke liye aatama tak bech chuke ho???","Hindi"
"Loves @laureennxo and @cassiiebianca sooooo much its redonc","English"
"Playing Scrabble..w/ Scrabblina..We're tied 209-209. Not for long though..I have the Q tile..and the Z...Zippity..doo..da! Zippity..day!","English"
"Ho jaye phir Us din Ka jo Wada","Hindi"
"Hamesha sabki madat kani chaiye kyunki jo doosaron ki madat karta hai, usski bhi sab madat karte hain.","Hindi"
"Hahaha Sab log Desh ke log again line main Lagne k liye shuru hojao.","Hindi"
"Ghost Images: Ten Classic Movies of the Supernatural http://bit.ly/FPpqC","English"
"Shoutout to my bro Chris & my niggas @aceswayy @e_mon3yyy @mainstreamvic ..gettin wild mucked this weekend nd ganna wwild out","English"
"Hum to Muhobbat Karega","Hindi"
"Ussne har tarah se pani pine ki koshish ki, par sab bekar gayi.","Hindi"
"RT @windek: #palingmales disuruh mandi woah","English"
"i want saturday to be here","English"
"UK STAND UP!!!! @djamesuk & @jsbuk - Truth Of The Town 3 D/L here now http://bit.ly/4vknkD RT please","English"
"Support UK Youth Parliament @UKYP, add a #twibbon to your avatar now! - http://bit.ly/3AXQxB","English"
"Ram Mandir Wohi Banayenge, Lekin Tareekh Nahi Batayenge', Ab To Kabhi Nahin :Supreme Court","Hindi"
